StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,consent,sex,sex_3_TEXT,social support_1,social support_2,social support_3,social support_4,social support_5,social support_6,social support_7,social support_8,social support_9,social support_10,social support_11,social support_12,online SS_1,online SS_2,online SS_3,online SS_4,online SS_5,online SS_6,online SS_7,online SS_8,online SS_9,online SS_10,online SS_11,online SS_12,online SS_13,online SS_14,online SS_15,online SS_16,online SS_17,online SS_18,online SS_19,online SS_20,online SS_21,online SS_22,online SS_23,online SS_24,mental wellbeing_1,mental wellbeing_2,mental wellbeing_3,mental wellbeing_4,mental wellbeing_5,mental wellbeing_6,mental wellbeing_7,mental wellbeing_8,mental wellbeing_9,mental wellbeing_10,mental wellbeing_11,mental wellbeing_12,mental wellbeing_13,mental wellbeing_14,mental wellbeing_15,stress scale_1,stress scale_2,stress scale_3,stress scale_4,stress scale_5,stress scale_6,stress scale_7,stress scale_8,stress scale_9,stress scale_10,stress scale_11,stress scale_12,social desirability_1,social desirability_2,social desirability_3,social desirability_4,social desirability_5,social desirability_6
12/15/2020 5:55,12/15/2020 6:05,0,100,568,1,12/15/2020 6:05,anonymous,TR,1,2,,3,3,4,3,3,3,4,3,3,3,4,3,3,4,3,4,4,5,3,3,3,4,3,3,2,4,4,4,3,3,3,4,3,5,4,4,4,5,2,3,4,4,4,4,2,3,4,5,4,5,2,2,2,2,3,4,3,3,1,5,4,3,2,3,2,2,2,4,4
12/15/2020 8:01,12/15/2020 8:08,0,100,403,1,12/15/2020 8:08,anonymous,TR,1,1,,3,4,2,2,3,4,3,1,4,3,1,4,4,5,4,5,5,5,4,2,2,3,4,5,1,4,2,2,5,5,1,1,2,2,4,2,4,5,4,2,4,4,5,5,2,3,5,5,5,4,4,3,3,4,3,5,3,5,2,4,5,4,2,4,3,3,2,1,4
12/15/2020 10:35,12/15/2020 10:42,0,100,407,1,12/15/2020 10:42,anonymous,TR,1,1,,4,5,5,5,5,5,5,5,5,5,4,5,3,3,3,3,3,3,3,3,2,1,1,1,1,4,2,1,1,2,3,2,2,2,1,1,4,5,3,5,4,4,4,5,4,3,4,4,5,5,4,3,3,3,4,4,3,4,2,5,5,3,4,2,2,2,3,5,3
12/15/2020 10:45,12/15/2020 10:51,0,100,342,1,12/15/2020 10:51,anonymous,TR,1,1,,5,5,5,5,5,4,3,5,3,5,5,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,1,1,5,3,2,3,5,4,5,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,2,2,4,4,3,4,2,5,5,3,4,3,3,1,4,5,4
12/15/2020 14:46,12/15/2020 14:58,0,100,724,1,12/15/2020 14:58,anonymous,TR,1,1,,5,5,4,4,5,4,4,4,4,5,4,4,3,3,3,4,4,4,4,4,4,2,2,2,1,4,3,3,3,3,1,2,2,1,2,2,3,4,3,4,4,3,3,4,4,3,4,4,3,4,2,5,5,4,5,4,3,3,2,4,3,4,4,4,3,3,3,2,3
12/15/2020 15:12,12/15/2020 15:19,0,100,414,1,12/15/2020 15:19,anonymous,TR,1,2,,3,4,3,4,2,3,4,4,4,3,3,4,2,2,2,2,3,4,2,2,3,3,2,3,1,4,3,3,2,3,1,2,2,4,4,4,2,2,3,3,4,3,5,3,3,3,4,5,3,3,3,2,2,3,3,4,3,3,2,4,4,3,3,4,3,4,4,2,4
12/16/2020 0:22,12/16/2020 0:25,0,100,167,1,12/16/2020 0:25,anonymous,TR,1,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12/16/2020 2:51,12/16/2020 3:01,0,100,547,1,12/16/2020 3:01,anonymous,TR,1,2,,3,2,4,5,3,4,4,3,3,2,4,3,2,2,3,2,2,2,2,2,3,4,3,3,2,4,2,1,1,2,2,1,1,2,1,2,3,4,2,4,2,4,4,4,1,3,4,4,5,3,2,2,3,2,3,4,3,4,2,3,4,4,2,4,2,2,4,4,5
12/16/2020 3:41,12/16/2020 3:49,0,100,463,1,12/16/2020 3:49,anonymous,TR,1,1,,1,2,5,5,4,4,4,5,4,1,5,4,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,2,3,2,3,4,4,4,4,4,3,2,4,4,4,4,3,4,4,5,4,1,3,3,3,5,4,3,4,3,5,4,2,3,2,3,3,4,2,4
12/16/2020 4:01,12/16/2020 4:07,0,100,353,1,12/16/2020 4:07,anonymous,TR,1,1,,5,5,5,5,5,5,5,4,5,3,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,4,3,5,5,5,5,5,4,3,5,5,3,3,1,4,3,1,2,3,2,3,3,4,4,4,2,5,4,4,4,4,3,3,3,2,3,4,4,2,3,2,2,1,4
12/16/2020 4:09,12/16/2020 4:19,0,100,615,1,12/16/2020 4:19,anonymous,TR,1,1,,4,5,4,3,5,5,4,2,5,5,2,4,3,3,2,3,3,2,2,2,3,2,2,2,1,4,2,1,1,1,2,1,2,1,1,2,4,4,2,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,3,4,3,5,4,4,3,1,2,2,1,1,3
12/16/2020 10:53,12/16/2020 10:57,0,100,259,1,12/16/2020 10:57,anonymous,TR,1,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,3,5,5,5,5,4,5,4,5,5,5,5,3,5,4,5,5,4,3,2,3,3,5,3,4,1,4,4,1,1,4,4,3,2,2,3
12/17/2020 3:36,12/17/2020 3:40,0,100,209,1,12/17/2020 3:40,anonymous,TR,1,1,,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,4,3,3,3,2,4,3,3,3,3,3,4,3,2,2,1,3,3,3,4,2,3,3,2,3,3,2,4,4,4,3,3,4,4,4,3,3,3,3,4,4,4,3,2,3,1,4,3,3
12/17/2020 5:39,12/17/2020 5:42,0,100,237,1,12/17/2020 5:42,anonymous,TR,1,2,,4,4,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,3,5,5,5,5,5,5,5,5,5,3,2,4,5,4,4,3,4,4,3,4,3,4,1,3,4,3,2,4,4,1,5,5,4
12/17/2020 8:10,12/17/2020 8:13,0,100,172,1,12/17/2020 8:13,anonymous,TR,1,2,,5,5,3,2,5,5,5,2,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,2,4,3,4,4,4,4,3,4,4,4,4,4,3,3,3,3,4,3,4,3,4,4,5,4,3,5,1,1,1,5
12/17/2020 9:26,12/17/2020 9:32,0,100,312,1,12/17/2020 9:32,anonymous,TR,1,1,,3,4,2,2,3,3,3,2,3,3,1,4,2,3,4,3,4,3,3,3,4,4,3,4,3,4,3,3,4,4,3,4,4,4,4,4,2,3,2,3,3,4,3,2,3,3,2,4,2,3,3,4,4,4,4,4,3,2,3,3,3,4,3,2,2,3,4,2,2
12/17/2020 13:16,12/17/2020 13:21,0,100,306,1,12/17/2020 13:21,anonymous,TR,1,2,,3,3,5,4,3,4,4,3,4,2,4,4,3,3,4,4,3,3,4,4,3,4,3,3,3,4,3,2,4,4,2,2,3,3,3,3,4,4,3,4,4,3,3,3,3,3,4,4,4,4,4,3,2,2,3,4,3,3,2,4,3,3,3,2,3,4,1,4,4
12/17/2020 14:41,12/17/2020 14:45,0,100,260,1,12/17/2020 14:45,anonymous,TR,1,3,Non binary,4,3,4,4,3,3,4,3,4,3,4,4,3,3,2,2,3,2,2,1,3,2,1,2,1,4,2,3,2,2,2,3,4,2,2,2,4,4,2,4,2,4,3,5,4,3,5,5,2,3,3,4,2,3,4,4,3,5,2,5,4,3,3,1,1,2,1,2,3
